label n comps time
ran 1000 1.90652 200.687
beg 1000 1.90652 0
mid 1000 1.90652 0
end 1000 1.70584 100.343
not 1000 2.00687 0
inA 1000 1.90652 0
ran 1000 1.90652 0
beg 1000 1.70584 0
mid 1000 1.70584 100.343
end 1000 1.50515 0
not 1000 2.00687 0
inA 1000 1.90652 0
ran 1000 1.70584 0
beg 1000 1.30446 0
mid 1000 1.50515 0
end 1000 1.70584 0
not 1000 2.00687 0
inA 1000 1.70584 0
ran 1000 2.00687 0
beg 1000 1.90652 0
mid 1000 1.90652 0
end 1000 1.70584 0
not 1000 2.00687 0
inA 1000 1.70584 100.343
ran 1000 1.90652 100.343
beg 1000 1.50515 0
mid 1000 1.90652 0
end 1000 1.70584 0
not 1000 2.00687 0
inA 1000 1.70584 100.343
ran 1000 2.00687 0
beg 1000 1.70584 100.343
mid 1000 0.501717 0
end 1000 1.90652 0
not 1000 2.00687 100.343
inA 1000 0.702403 0
ran 1000 2.00687 0
beg 1000 1.30446 0
mid 1000 1.50515 0
end 1000 1.30446 0
not 1000 2.00687 0
inA 1000 1.90652 100.343
ran 1000 1.90652 100.343
beg 1000 1.70584 0
mid 1000 1.90652 100.343
end 1000 0.90309 0
not 1000 2.00687 0
inA 1000 0.90309 0
ran 1000 1.90652 0
beg 1000 1.90652 0
mid 1000 1.90652 0
end 1000 1.70584 100.343
not 1000 2.00687 0
inA 1000 1.90652 0
ran 1000 2.00687 0
beg 1000 1.70584 0
mid 1000 1.70584 0
end 1000 1.70584 0
not 1000 2.00687 0
inA 1000 1.70584 0
ran 1000 1.50515 0
beg 1000 1.90652 0
mid 1000 1.50515 0
end 1000 1.90652 0
not 1000 2.00687 0
inA 1000 1.70584 0
ran 1000 1.30446 100.343
beg 1000 1.10378 0
mid 1000 1.90652 0
end 1000 1.10378 0
not 1000 2.00687 0
inA 1000 1.70584 0
ran 1000 2.00687 0
beg 1000 1.90652 0
mid 1000 1.70584 0
end 1000 1.70584 0
not 1000 2.00687 0
inA 1000 1.70584 0
ran 1000 2.00687 0
beg 1000 1.50515 0
mid 1000 1.70584 0
end 1000 1.70584 0
not 1000 2.00687 0
inA 1000 1.90652 0
ran 1000 2.00687 100.343
beg 1000 1.70584 0
mid 1000 1.30446 0
end 1000 1.90652 0
not 1000 2.00687 0
inA 1000 1.90652 0
ran 1000 1.50515 0
beg 1000 1.70584 0
mid 1000 1.70584 0
end 1000 1.90652 0
not 1000 2.00687 0
inA 1000 1.50515 0
ran 1000 0.501717 0
beg 1000 1.90652 0
mid 1000 1.70584 602.06
end 1000 1.90652 0
not 1000 2.00687 0
inA 1000 1.50515 0
ran 1000 2.00687 0
beg 1000 1.10378 0
mid 1000 0.90309 100.343
end 1000 1.30446 0
not 1000 2.00687 0
inA 1000 1.90652 0
ran 1000 1.50515 100.343
beg 1000 1.10378 0
mid 1000 1.50515 0
end 1000 1.50515 0
not 1000 2.00687 0
inA 1000 1.90652 100.343
ran 1000 2.00687 0
beg 1000 1.90652 0
mid 1000 1.70584 0
end 1000 1.70584 0
not 1000 2.00687 0
inA 1000 1.50515 0
ran 1000 2.00687 0
beg 1000 1.70584 0
mid 1000 1.90652 0
end 1000 1.70584 100.343
not 1000 2.00687 0
inA 1000 1.30446 0
ran 1000 1.50515 0
beg 1000 1.90652 100.343
mid 1000 1.30446 0
end 1000 1.30446 0
not 1000 2.00687 0
inA 1000 1.70584 0
ran 1000 1.30446 0
beg 1000 1.70584 0
mid 1000 1.50515 0
end 1000 1.30446 100.343
not 1000 2.00687 0
inA 1000 1.70584 0
ran 1000 1.70584 0
beg 1000 1.70584 0
mid 1000 1.90652 0
end 1000 1.70584 100.343
not 1000 2.00687 0
inA 1000 1.90652 0
ran 1000 2.00687 100.343
beg 1000 1.70584 0
mid 1000 1.70584 0
end 1000 0.90309 0
not 1000 2.00687 0
inA 1000 1.30446 100.343
ran 1000 1.30446 100.343
beg 1000 1.70584 0
mid 1000 1.50515 100.343
end 1000 1.70584 0
not 1000 2.00687 0
inA 1000 1.90652 100.343
ran 1000 1.90652 0
beg 1000 1.70584 0
