label n comps time
ran 1000 11 12000
beg 1000 9 0
mid 1000 19 1000
end 1000 19 1000
not 1000 20 0
inA 1000 17 1000
ran 1000 15 0
beg 1000 15 1000
mid 1000 17 1000
end 1000 19 1000
not 1000 20 0
inA 1000 15 1000
ran 1000 15 1000
beg 1000 15 0
mid 1000 17 1000
end 1000 15 1000
not 1000 20 0
inA 1000 15 1000
ran 1000 20 1000
beg 1000 19 1000
mid 1000 17 1000
end 1000 19 1000
not 1000 20 0
inA 1000 17 1000
ran 1000 20 0
beg 1000 17 0
mid 1000 13 1000
end 1000 11 1000
not 1000 20 1000
inA 1000 17 1000
ran 1000 20 1000
beg 1000 15 1000
mid 1000 17 1000
end 1000 17 1000
not 1000 20 0
inA 1000 17 1000
ran 1000 20 0
beg 1000 15 1000
mid 1000 19 1000
end 1000 17 1000
not 1000 20 0
inA 1000 19 1000
ran 1000 15 15000
beg 1000 17 1000
mid 1000 17 1000
end 1000 13 1000
not 1000 20 0
inA 1000 17 1000
ran 1000 20 1000
beg 1000 15 1000
mid 1000 13 0
end 1000 17 1000
not 1000 20 0
inA 1000 19 1000
ran 1000 20 1000
beg 1000 17 1000
mid 1000 17 0
end 1000 15 1000
not 1000 20 0
inA 1000 5 0
ran 1000 19 1000
beg 1000 13 2000
mid 1000 17 1000
end 1000 9 1000
not 1000 18 0
inA 1000 19 1000
ran 1000 20 1000
beg 1000 17 0
mid 1000 17 1000
end 1000 17 1000
not 1000 20 1000
inA 1000 19 1000
ran 1000 20 1000
beg 1000 15 0
mid 1000 13 0
end 1000 17 1000
not 1000 20 0
inA 1000 15 1000
ran 1000 20 1000
beg 1000 17 1000
mid 1000 1 0
end 1000 19 1000
not 1000 20 0
inA 1000 17 1000
ran 1000 20 1000
beg 1000 19 1000
mid 1000 11 1000
end 1000 15 1000
not 1000 20 1000
inA 1000 17 1000
ran 1000 20 1000
beg 1000 13 1000
mid 1000 17 1000
end 1000 19 1000
not 1000 20 0
inA 1000 17 1000
ran 1000 11 1000
beg 1000 15 0
mid 1000 19 1000
end 1000 15 0
not 1000 20 0
inA 1000 17 1000
ran 1000 20 1000
beg 1000 17 1000
mid 1000 17 1000
end 1000 17 1000
not 1000 20 0
inA 1000 19 1000
ran 1000 19 1000
beg 1000 15 1000
mid 1000 5 0
end 1000 19 1000
not 1000 20 0
inA 1000 15 1000
ran 1000 20 1000
beg 1000 9 1000
mid 1000 17 0
end 1000 19 1000
not 1000 20 0
inA 1000 19 1000
ran 1000 20 0
beg 1000 15 2000
mid 1000 17 1000
end 1000 19 1000
not 1000 20 0
inA 1000 17 1000
ran 1000 20 1000
beg 1000 11 1000
mid 1000 19 1000
end 1000 19 1000
not 1000 20 1000
inA 1000 17 1000
ran 1000 20 1000
beg 1000 17 1000
mid 1000 17 15000
end 1000 15 1000
not 1000 20 0
inA 1000 17 1000
ran 1000 20 1000
beg 1000 19 1000
mid 1000 15 1000
end 1000 11 1000
not 1000 20 0
inA 1000 13 1000
ran 1000 15 1000
beg 1000 19 1000
mid 1000 15 1000
end 1000 15 16000
not 1000 20 1000
inA 1000 17 0
ran 1000 20 1000
beg 1000 15 2000
mid 1000 19 1000
end 1000 19 1000
not 1000 20 0
inA 1000 19 1000
ran 1000 20 1000
beg 1000 13 1000
mid 1000 19 1000
end 1000 13 1000
not 1000 20 0
inA 1000 9 1000
ran 1000 20 1000
beg 1000 15 1000
mid 1000 15 1000
end 1000 15 1000
not 1000 20 0
inA 1000 19 1000
ran 1000 18 0
beg 1000 13 0
mid 1000 19 1000
end 1000 15 1000
not 1000 20 0
inA 1000 17 16000
ran 1000 19 1000
beg 1000 19 0
mid 1000 15 1000
end 1000 19 0
