label n m comparisons time compsConst timeConst
ran 1000 0 17 5000 1.70584 501.717
beg 1000 0 19 0 1.90652 0
mid 1000 0 13 0 1.30446 0
end 1000 0 11 1000 1.10378 100.343
not 1000 0 20 0 2.00687 0
inA 1000 0 17 0 1.70584 0
ran 1000 1 20 0 2.00687 0
beg 1000 1 15 0 1.50515 0
mid 1000 1 19 0 1.90652 0
end 1000 1 17 0 1.70584 0
not 1000 1 20 0 2.00687 0
inA 1000 1 17 0 1.70584 0
ran 1000 2 20 0 2.00687 0
beg 1000 2 13 0 1.30446 0
mid 1000 2 15 0 1.50515 0
end 1000 2 17 0 1.70584 0
not 1000 2 20 0 2.00687 0
inA 1000 2 17 0 1.70584 0
ran 1000 3 17 0 1.70584 0
beg 1000 3 19 1000 1.90652 100.343
mid 1000 3 15 0 1.50515 0
end 1000 3 15 0 1.50515 0
not 1000 3 20 0 2.00687 0
inA 1000 3 17 0 1.70584 0
ran 1000 4 13 0 1.30446 0
beg 1000 4 19 0 1.90652 0
mid 1000 4 19 0 1.90652 0
end 1000 4 17 0 1.70584 0
not 1000 4 20 0 2.00687 0
inA 1000 4 19 0 1.90652 0
ran 1000 5 20 0 2.00687 0
beg 1000 5 19 0 1.90652 0
mid 1000 5 17 1000 1.70584 100.343
end 1000 5 17 0 1.70584 0
not 1000 5 20 0 2.00687 0
inA 1000 5 17 0 1.70584 0
ran 1000 6 20 1000 2.00687 100.343
beg 1000 6 17 0 1.70584 0
mid 1000 6 17 0 1.70584 0
end 1000 6 5 0 0.501717 0
not 1000 6 20 0 2.00687 0
inA 1000 6 15 1000 1.50515 100.343
ran 1000 7 20 0 2.00687 0
beg 1000 7 17 0 1.70584 0
mid 1000 7 15 1000 1.50515 100.343
end 1000 7 17 0 1.70584 0
not 1000 7 20 0 2.00687 0
inA 1000 7 19 0 1.90652 0
ran 1000 8 20 0 2.00687 0
beg 1000 8 19 0 1.90652 0
mid 1000 8 15 0 1.50515 0
end 1000 8 15 0 1.50515 0
not 1000 8 20 0 2.00687 0
inA 1000 8 15 0 1.50515 0
ran 1000 9 20 0 2.00687 0
beg 1000 9 19 1000 1.90652 100.343
mid 1000 9 17 0 1.70584 0
end 1000 9 15 0 1.50515 0
not 1000 9 20 1000 2.00687 100.343
inA 1000 9 19 0 1.90652 0
ran 1000 10 19 0 1.90652 0
beg 1000 10 17 1000 1.70584 100.343
mid 1000 10 19 0 1.90652 0
end 1000 10 19 0 1.90652 0
not 1000 10 20 0 2.00687 0
inA 1000 10 15 0 1.50515 0
ran 1000 11 20 0 2.00687 0
beg 1000 11 19 0 1.90652 0
mid 1000 11 15 0 1.50515 0
end 1000 11 15 0 1.50515 0
not 1000 11 20 1000 2.00687 100.343
inA 1000 11 17 0 1.70584 0
ran 1000 12 20 0 2.00687 0
beg 1000 12 19 0 1.90652 0
mid 1000 12 15 0 1.50515 0
end 1000 12 19 0 1.90652 0
not 1000 12 20 0 2.00687 0
inA 1000 12 17 0 1.70584 0
ran 1000 13 20 1000 2.00687 100.343
beg 1000 13 15 0 1.50515 0
mid 1000 13 5 0 0.501717 0
end 1000 13 19 1000 1.90652 100.343
not 1000 13 20 0 2.00687 0
inA 1000 13 19 0 1.90652 0
ran 1000 14 20 0 2.00687 0
beg 1000 14 15 0 1.50515 0
mid 1000 14 17 0 1.70584 0
end 1000 14 19 0 1.90652 0
not 1000 14 20 0 2.00687 0
inA 1000 14 19 0 1.90652 0
ran 1000 15 20 0 2.00687 0
beg 1000 15 19 0 1.90652 0
mid 1000 15 13 0 1.30446 0
end 1000 15 15 0 1.50515 0
not 1000 15 20 0 2.00687 0
inA 1000 15 19 0 1.90652 0
ran 1000 16 20 0 2.00687 0
beg 1000 16 17 0 1.70584 0
mid 1000 16 9 0 0.90309 0
end 1000 16 13 0 1.30446 0
not 1000 16 20 0 2.00687 0
inA 1000 16 13 0 1.30446 0
ran 1000 17 19 0 1.90652 0
beg 1000 17 17 0 1.70584 0
mid 1000 17 17 0 1.70584 0
end 1000 17 17 0 1.70584 0
not 1000 17 20 0 2.00687 0
inA 1000 17 19 0 1.90652 0
ran 1000 18 20 0 2.00687 0
beg 1000 18 17 1000 1.70584 100.343
mid 1000 18 15 0 1.50515 0
end 1000 18 17 0 1.70584 0
not 1000 18 20 0 2.00687 0
inA 1000 18 13 0 1.30446 0
ran 1000 19 19 0 1.90652 0
beg 1000 19 17 0 1.70584 0
mid 1000 19 19 0 1.90652 0
end 1000 19 19 0 1.90652 0
not 1000 19 20 0 2.00687 0
inA 1000 19 13 0 1.30446 0
ran 1000 20 20 0 2.00687 0
beg 1000 20 19 0 1.90652 0
mid 1000 20 15 0 1.50515 0
end 1000 20 17 0 1.70584 0
not 1000 20 20 0 2.00687 0
inA 1000 20 19 0 1.90652 0
ran 1000 21 19 0 1.90652 0
beg 1000 21 11 0 1.10378 0
mid 1000 21 19 0 1.90652 0
end 1000 21 15 0 1.50515 0
not 1000 21 20 0 2.00687 0
inA 1000 21 19 0 1.90652 0
ran 1000 22 17 0 1.70584 0
beg 1000 22 19 0 1.90652 0
mid 1000 22 15 0 1.50515 0
end 1000 22 17 0 1.70584 0
not 1000 22 20 0 2.00687 0
inA 1000 22 17 1000 1.70584 100.343
