=== Simulated Annealing - testowanie parametrow ===
Liczba prob na konfiguracje: 5,  epochLen = n

Plik: wi29.tsp (n=29)
T	alpha	stopEpochs	avg	best
500	0.95	50	28313	28044
500	0.99	50	28291.8	27750
2000	0.95	50	28432.6	28022
2000	0.99	50	29444.4	27603
2000	0.95	150	28271.8	28031
2000	0.99	150	27888.2	27603
10000	0.95	150	28403	28022
10000	0.99	150	27890	27603

Plik: dj38.tsp (n=38)
T	alpha	stopEpochs	avg	best
500	0.95	50	6830.2	6656
500	0.99	50	7300.4	6656
2000	0.95	50	7022.2	6656
2000	0.99	50	12287.8	6656
2000	0.95	150	7065	6656
2000	0.99	150	6656	6656
10000	0.95	150	6706.8	6656
10000	0.99	150	9261.4	6656

Plik: qa194.tsp (n=194)
T	alpha	stopEpochs	avg	best
500	0.95	50	10577	10281
500	0.99	50	10402	10035
2000	0.95	50	10557.4	10201
2000	0.99	50	22831.2	10264
2000	0.95	150	10621.2	10062
2000	0.99	150	10134.2	9779
10000	0.95	150	10521	10426
10000	0.99	150	10259.6	9953

Plik: uy734.tsp (n=734)
T	alpha	stopEpochs	avg	best
500	0.95	50	90803	89800
500	0.99	50	90926.4	90190
2000	0.95	50	91149.2	89262
2000	0.99	50	91172.8	88154
2000	0.95	150	90115.2	88220
2000	0.99	150	90072.8	89329
10000	0.95	150	90177.2	89254
10000	0.99	150	89048.2	88418

Plik: zi929.tsp (n=929)
T	alpha	stopEpochs	avg	best
500	0.95	50	110335	109331
500	0.99	50	110290	108768
2000	0.95	50	109228	107230
2000	0.99	50	108439	107313
2000	0.95	150	108056	107150
2000	0.99	150	107577	106374
10000	0.95	150	108391	106879
10000	0.99	150	108458	105079

Najlepsze parametry: T=2000  alpha=0.99  stopEpochs=150
